Tên sản phẩm,Giá sản phẩm,Link sản phẩm,URL ảnh sản phẩm
iPhone Xs 64GB - Cũ đẹp,"5,390,000đ",https://minhtuanmobile.com/iphone-xs-64gb-likenew/,https://minhtuanmobile.com/uploads/products/z4140779337958-1e70ac8acfd01d396c65f987153b48a3-230227095239-230227095239_thumb.jpg
iPhone Xs 256GB - Cũ đẹp,"6,190,000đ",https://minhtuanmobile.com/iphone-xs-256gb-likenew/,https://minhtuanmobile.com/uploads/products/z4140779316664-78cd53fea07f202584b69ad5e3856144-230227095138-230227095138_thumb.jpg
iPhone 11 64GB - Cũ đẹp,"6,690,000đ",https://minhtuanmobile.com/iphone-11-2019-64gb-hang-trung-bay/,https://minhtuanmobile.com/uploads/products/8842-230225051707-230225171707_thumb.png
iPhone Xs Max 64GB - Cũ đẹp,"6,890,000đ",https://minhtuanmobile.com/iphone-xs-max-64gb-ll-a-likenew/,https://minhtuanmobile.com/uploads/products/z4140779316664-78cd53fea07f202584b69ad5e3856144-230227094722-230227094722_thumb.jpg
iPhone 11 128GB - Cũ đẹp,"7,690,000đ",https://minhtuanmobile.com/iphone-11-2019-128gb-likenew/,https://minhtuanmobile.com/uploads/products/vag-230225051513-230225171513_thumb.png
iPhone 11 Pro 64GB - Cũ đẹp,"7,590,000đ",https://minhtuanmobile.com/iphone-11-pro-64gb-like-new-hang-trung-bay/,https://minhtuanmobile.com/uploads/products/thiet-ke-chua-co-ten-3-230225045753-230225165753_thumb.png
iPhone 12 64GB - Cũ đẹp,"8,590,000đ",https://minhtuanmobile.com/iphone-12-64gb-like-new/,https://minhtuanmobile.com/uploads/products/12red-230225030938-230225150938_thumb.png
iPhone 11 Pro Max 256GB - Cũ đẹp,"10,590,000đ",https://minhtuanmobile.com/iphone-11-pro-max-256gb-hang-trung-bay/,https://minhtuanmobile.com/uploads/products/thiet-ke-chua-co-ten-4-230225045922-230225165922_thumb.png
iPhone 11 Pro Max 64GB - Cũ đẹp,"9,190,000đ",https://minhtuanmobile.com/iphone-11-pro-max-64gb-likenew/,https://minhtuanmobile.com/uploads/products/thiet-ke-chua-co-ten-5-230225050043-230225170043_thumb.png
iPhone 13 128GB - Cũ đẹp,"11,490,000đ",https://minhtuanmobile.com/iphone-13-128gb-like-new/,https://minhtuanmobile.com/uploads/products/220320110241-iphone-13-01-220320110241-thumb-230224091048-230224091048_thumb.jpg
iPhone 14 128GB - Cũ đẹp,"13,490,000đ",https://minhtuanmobile.com/iphone-14-128gb-like-new/,https://minhtuanmobile.com/uploads/products/iphone-14-128g-purple-minh-tuan-mobile-230623043456-230623163456_thumb.png
iPhone 14 Plus 128GB - Cũ đẹp,"15,490,000đ",https://minhtuanmobile.com/iphone-14-plus-128gb-like-new/,https://minhtuanmobile.com/uploads/products/ip14-xanh-230603024247-230603144248_thumb.jpg
iPhone 12 Pro Max 128GB - Cũ đẹp,"13,590,000đ",https://minhtuanmobile.com/iphone-12-pro-max-128gb-like-new/,https://minhtuanmobile.com/uploads/products/z4136894986657-b98310ff380229e17c6f9f90e68d115c-230225020534-230225140534_thumb.jpg
iPhone 14 Plus 256GB - Cũ đẹp,"16,390,000đ",https://minhtuanmobile.com/iphone-14-plus-256gb-like-new/,https://minhtuanmobile.com/uploads/products/ip14-trang-230603030157-230603150157_thumb.jpg
iPhone 12 Pro Max 256GB - Cũ đẹp,"14,190,000đ",https://minhtuanmobile.com/iphone-12-pro-max-256gb-like-new/,https://minhtuanmobile.com/uploads/products/z4136894986657-b98310ff380229e17c6f9f90e68d115c-230225020000-230225140000_thumb.jpg
iPhone 14 Plus 512GB - Cũ đẹp,"16,890,000đ",https://minhtuanmobile.com/iphone-14-plus-512gb-like-new/,https://minhtuanmobile.com/uploads/products/ip14-tim-230603031034-230603151034_thumb.jpg
iPhone 14 Pro Cũ đẹp - 128GB,"18,290,000đ",https://minhtuanmobile.com/iphone-14-pro-128gb-like-new/,https://minhtuanmobile.com/uploads/products/iphone-14-pro-128g-silver-minh-tuan-mobile-230623040612-230623160612_thumb.png
iPhone 13 Pro Max 128GB - Cũ đẹp,"16,390,000đ",https://minhtuanmobile.com/iphone-13-pro-max-128gb-like-new/,https://minhtuanmobile.com/uploads/products/z4137145400988-f524341a48a43b55032f8dd2fa697067-230225040037-230225160037_thumb.jpg
iPhone 14 Pro Max 128GB - Cũ đẹp,"20,990,000đ",https://minhtuanmobile.com/iphone-14-pro-max-128gb-like-new/,https://minhtuanmobile.com/uploads/products/iphone-14-promax-128g-gold-minh-tuan-mobile-230623023319-230623143319_thumb.png
iPhone 14 Pro Max 256GB - Cũ đẹp,"22,090,000đ",https://minhtuanmobile.com/iphone-14-pro-max-256gb-like-new/,https://minhtuanmobile.com/uploads/products/iphone-14-promax-256g-silver-minh-tuan-mobile-230623024219-230623144219_thumb.png
iPhone 15 256GB - Cũ đẹp,"17,590,000đ",https://minhtuanmobile.com/iphone-15-256gb-cu-dep/,https://minhtuanmobile.com/uploads/products/iphone-15-green-like-new-240222025714-240222145714_thumb.png
iPhone 15 Plus 128GB - Cũ đẹp,"18,590,000đ",https://minhtuanmobile.com/iphone-15-plus-128gb-cu-dep/,https://minhtuanmobile.com/uploads/products/iphone-15-black-like-new-240222041402-240222161402_thumb.png
iPhone 14 Pro Max 512GB - Cũ đẹp,"22,790,000đ",https://minhtuanmobile.com/iphone-14-pro-max-512gb-like-new/,https://minhtuanmobile.com/uploads/products/iphone-14-promax-512g-black-minh-tuan-mobile-230623031219-230623151219_thumb.png
iPhone 15 Pro 128GB - Cũ đẹp,"20,590,000đ",https://minhtuanmobile.com/iphone-15-pro-128gb-cu-dep/,https://minhtuanmobile.com/uploads/products/iphone-15-pro-white-240222043306-240222163306_thumb.png
iPhone 7 Plus 128GB - Cũ đẹp,"3,290,000đ",https://minhtuanmobile.com/iphone-7-plus-128gb-like-new/,https://minhtuanmobile.com/uploads/products/den-230227032544-230227152544_thumb.png
iPhone 7 Plus 256GB - Cũ đẹp,"3,490,000đ",https://minhtuanmobile.com/iphone-7-plus-256gb-like-new/,https://minhtuanmobile.com/uploads/products/thiet-ke-chua-co-ten-26-230227031523-230227151523_thumb.png
iPhone 8 64GB - Cũ đẹp,"2,590,000đ",https://minhtuanmobile.com/iphone-8-64gb-like-new/,https://minhtuanmobile.com/uploads/products/thiet-ke-chua-co-ten-23-230227023703-230227143703_thumb.png
iPhone 7 Plus 32GB - Cũ đẹp,"2,990,000đ",https://minhtuanmobile.com/iphone-7-plus-32gb-like-new/,https://minhtuanmobile.com/uploads/products/gold-230227032712-230227152712_thumb.png
iPhone XR 64GB - Cũ đẹp,"4,790,000đ",https://minhtuanmobile.com/iphone-xr-64gb-likenew/,https://minhtuanmobile.com/uploads/products/thiet-ke-chua-co-ten-11-230227094027-230227094027_thumb.png
